,noduleID,cluster
0,1,2.0
1,2,1.0
2,3,2.0
3,4,1.0
4,5,1.0
5,6,0.0
6,9,0.0
7,10,0.0
8,11,0.0
9,13,2.0
10,14,1.0
11,15,2.0
12,18,0.0
13,19,0.0
14,20,1.0
15,21,0.0
16,22,0.0
17,24,0.0
18,25,0.0
19,26,0.0
20,27,1.0
21,28,0.0
22,29,0.0
23,30,0.0
24,31,0.0
25,32,0.0
26,34,1.0
27,43,1.0
28,44,1.0
29,45,1.0
30,47,2.0
31,48,2.0
32,49,2.0
33,53,1.0
34,54,2.0
35,57,0.0
36,58,1.0
37,60,2.0
38,63,2.0
39,64,0.0
40,65,0.0
41,66,0.0
42,67,0.0
43,68,2.0
44,69,1.0
45,71,1.0
46,72,0.0
47,73,0.0
48,74,0.0
49,75,0.0
50,83,0.0
51,84,2.0
52,87,1.0
53,88,2.0
54,90,0.0
55,91,0.0
56,94,0.0
57,98,1.0
58,99,1.0
59,101,0.0
60,102,0.0
61,103,0.0
62,104,0.0
63,108,0.0
64,113,0.0
65,119,0.0
66,122,0.0
67,123,0.0
68,124,2.0
69,125,2.0
70,126,0.0
71,129,0.0
72,131,1.0
73,132,1.0
74,133,1.0
75,134,0.0
76,135,1.0
77,136,0.0
78,137,1.0
79,138,1.0
80,146,0.0
81,149,2.0
82,150,0.0
83,151,1.0
84,153,0.0
85,155,1.0
86,157,0.0
87,159,0.0
88,160,0.0
89,162,0.0
90,164,0.0
91,165,0.0
92,166,0.0
93,167,2.0
94,168,1.0
95,169,1.0
96,170,0.0
97,171,0.0
98,172,1.0
99,173,2.0
100,174,1.0
101,175,2.0
102,176,2.0
103,178,1.0
104,179,1.0
105,181,1.0
106,186,0.0
107,187,0.0
108,188,2.0
109,189,2.0
110,190,2.0
111,191,2.0
112,193,2.0
113,195,1.0
114,196,1.0
115,197,2.0
116,198,2.0
117,199,1.0
118,200,2.0
119,201,2.0
120,202,1.0
121,203,1.0
122,206,2.0
123,208,0.0
124,210,1.0
125,212,0.0
126,214,1.0
127,217,2.0
128,218,1.0
129,219,1.0
130,220,2.0
131,221,1.0
132,224,1.0
133,226,1.0
134,229,1.0
135,230,0.0
136,232,1.0
137,235,0.0
138,236,2.0
139,237,2.0
140,239,1.0
141,240,1.0
142,241,0.0
143,242,1.0
144,243,1.0
145,245,2.0
146,246,2.0
147,251,2.0
148,255,2.0
149,256,0.0
150,258,0.0
151,259,2.0
152,260,2.0
153,261,1.0
154,262,2.0
155,263,1.0
156,264,1.0
157,265,2.0
158,270,0.0
159,271,0.0
160,272,0.0
161,274,0.0
162,275,0.0
163,277,2.0
164,278,2.0
165,279,0.0
166,280,0.0
167,282,0.0
168,283,2.0
169,284,0.0
170,290,0.0
171,292,0.0
172,293,0.0
173,294,1.0
174,295,0.0
175,296,2.0
176,297,2.0
177,299,2.0
178,301,1.0
179,304,1.0
180,305,0.0
181,306,1.0
182,310,0.0
